hours,riverflow,demand,windspeed,windspeed hub height,Power,windfactor,direct,diffuse,temperature,Irradiance,panel_efficiency,efficiency,area_usage,performance_ratio,kW/m²,PV_factor
56,1529431.498,0.000115192,2.973,3.5,104,1.92469E-05,0.128,0.111,19.85,0.239,0.95,0.21,0.33,0.85,0.015734565,6.51641290827781E-05
57,1529431.498,0.000125432,3.585,4.2,238.8,4.41939E-05,0.319,0.159,22.654,0.478,0.95,0.21,0.33,0.85,0.03146913,0.000130336751446
58,1529431.498,0.000129271,4.243,5,442,8.17994E-05,0.497,0.184,25.777,0.681,0.95,0.21,0.33,0.85,0.044833635,0.000185713175409
59,1529431.498,0.000122872,4.934,5.8,724,0.0001339882,0.64,0.194,28.598,0.834,0.95,0.21,0.33,0.85,0.05490639,0.000227479526843
60,1529431.498,0.000127991,5.877,6.9,1244.8,0.0002303709,0.706,0.202,30.168,0.908,0.95,0.21,0.33,0.85,0.05977818,0.000247719912807
61,1529431.498,0.000131831,6.814,8,1915,0.0003544025,0.701,0.202,31.1,0.903,0.95,0.21,0.33,0.85,0.059449005,0.000246416858734
62,1529431.498,0.000129271,7.461,8.7,2363.2,0.0004373493,0.627,0.194,31.406,0.821,0.95,0.21,0.33,0.85,0.054050535,0.000224095354894
63,1529431.498,0.000126711,7.076,8.3,2116,0.0003916009,0.492,0.178,31.101,0.67,0.95,0.21,0.33,0.85,0.04410945,0.000182920270241
64,1529431.498,0.000116472,5.971,7,1298,0.0002402164,0.311,0.15,30.449,0.461,0.95,0.21,0.33,0.85,0.030349935,0.000125883093109
65,1529431.498,0.000127991,4.866,5.7,685,0.0001267706,0.119,0.1,29.024,0.219,0.95,0.21,0.33,0.85,0.014417865,5.98088247784411E-05
66,1529431.498,0.00014463,4.789,5.6,646,0.000119553,0.007,0.013,25.41,0.02,0.95,0.21,0.33,0.85,0.0013167,5.46231982538056E-06
67,1529431.498,0.00014975,5.245,6.1,848,0.0001569365,0,0,23.571,0,0.95,0.21,0.33,0.85,0,0
68,1529431.498,0.000134391,5.52,6.5,1032,0.0001909887,0,0,22.37,0,0.95,0.21,0.33,0.85,0,0
69,1529431.498,0.000121592,5.358,6.3,940,0.0001739626,0,0,21.515,0,0.95,0.21,0.33,0.85,0,0
70,1529431.498,0.000110073,4.895,5.7,685,0.0001267706,0,0,21.052,0,0.95,0.21,0.33,0.85,0,0
71,1529431.498,9.59936E-05,4.511,5.3,541,0.000100121,0,0,20.493,0,0.95,0.21,0.33,0.85,0,0
72,1529431.498,8.44743E-05,4.36,5.1,475,8.79066E-05,0,0,19.874,0,0.95,0.21,0.33,0.85,0,0
73,1529431.498,8.31944E-05,4.299,5,442,8.17994E-05,0,0,19.342,0,0.95,0.21,0.33,0.85,0,0
74,1529431.498,8.19145E-05,3.54,4.1,216.4,4.00484E-05,0,0,18.866,0,0.95,0.21,0.33,0.85,0,0
75,1529431.498,8.31944E-05,3.746,4.4,283.6,5.24849E-05,0,0,18.49,0,0.95,0.21,0.33,0.85,0,0
76,1529431.498,8.44743E-05,2.938,3.4,89.8,1.6619E-05,0,0,18.195,0,0.95,0.21,0.33,0.85,0,0
